,PC1,PC2,PC3,PC4,PC5
voltage_start,0.013607672919828645,0.6536009756002903,-0.27669003437299655,0.31206311122978525,-0.14181940306161342
voltage_end,-0.2971801552992585,0.24770828744406992,-0.2146612515203118,-0.24341378247395917,0.21577079535516266
voltage_mean,0.29924274834965203,0.25190101660132247,-0.10155227368280752,-0.004949434387347806,-0.3838810434222226
voltage_std,-0.14607635040148753,-0.5321622563754387,-0.42945959249299115,-0.03393591121749722,0.1540923037168983
voltage_drop,0.29939915445006005,-0.23239274872860355,0.20886776194444875,0.2529993287226999,-0.2207878647616177
current_mean,-0.32424539883787373,-0.03140403947955948,0.1777752063359714,-0.03289314179361195,-0.2844008982939125
temp_mean,-0.19087594426166876,0.19744166881433242,0.6963896806203802,0.1052084786205059,0.37172739286249756
temp_rise,0.2914467103683754,0.0047309948419575745,-0.10306746741506263,0.45514714923804933,0.6041965441374144
energy_delivered,0.32788496119647875,0.05714986744393839,-0.0018031331722620214,-0.23106697106684432,0.05770432723500706
discharge_duration,0.3025029293279758,0.051079222065327744,0.15238989985308113,-0.46215946279284803,-0.008150715197129616
power_density,0.3234533138600557,0.07384870277695227,-0.19829173551889778,0.017304267922026696,0.16964175479612958
cycle_normalized,-0.3024358818984726,-0.06456516874592022,-0.07098691523658614,0.47754118467139595,-0.22057716655762025
voltage_efficiency,-0.298928823592992,0.2351592977199889,-0.21028272074102244,-0.2520783542539417,0.22028713439109956
